,drug_English,drug,MOL ID,MOlecule,MOlecule_url,MOleculeName,InChIKey,SMLIES,GIabsorption,Lipinski,Ghose,Veber,Egan,Muegge,SwissADME
31,Oriental Waterplantain Rhizome,泽泻,MOL000847,Sulfoorientalol D,https://tcmsp-e.com/molecule.php?qn=847,Sulfoorientalol D,PBDNFCSOADCJKH-MTWVNVMRSA-N,CC(C)C12CCC(O1)(C3CCC(C3C2O)(C)S(=O)(=O)O)C,High,Yes,Yes,Yes,Yes,Yes,1
32,Oriental Waterplantain Rhizome,泽泻,MOL000848,verbascose,https://tcmsp-e.com/molecule.php?qn=848,verbascose,CPJZELFLOVFNHQ-RCEYKPAZSA-N,-,-,-,-,-,-,-,-
33,Oriental Waterplantain Rhizome,泽泻,MOL000849,16β-methoxyalisol B monoacetate,https://tcmsp-e.com/molecule.php?qn=849,16β-methoxyalisol B monoacetate,UJRPGLKPBYUOLM-XBKPOWCMSA-N,CC(CC(C1C(O1)(C)C)OC(=O)C)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2OC)C)C)(C)C)C)O,High,Yes,No,Yes,No,Yes,1
34,Oriental Waterplantain Rhizome,泽泻,MOL000850,alisol A,https://tcmsp-e.com/molecule.php?qn=850,alisol A,HNOSJVWYGXOFRP-UNPOXIGHSA-N,CC(CC(C(C(C)(C)O)O)O)C1=C2CC(C3C4(CCC(=O)C(C4CCC3(C2(CC1)C)C)(C)C)C)O,High,Yes,No,Yes,Yes,Yes,1
35,Oriental Waterplantain Rhizome,泽泻,MOL000851,"alisol A(B,C)monoacetate",https://tcmsp-e.com/molecule.php?qn=851,"alisol A(B,C)monoacetate",WXHUQVMHWUQNTG-QPJOKHKBSA-N,CCCC1(CCC)/C(=C/[C@H](C)C[C@@H](O)C(OC(C)=O)C(C)(C)O)C[C@H](O)C2C1CCC1C(C)(C)C(=O)CC[C@]21C,Low,No,No,Yes,Yes,No,0
36,Oriental Waterplantain Rhizome,泽泻,MOL000852,16β-hydroxyalisol B monoacetate,https://tcmsp-e.com/molecule.php?qn=852,16β-hydroxyalisol B monoacetate,QXTFJHAHEZDLDP-XKFNBYHKSA-N,CC(CC(C1C(O1)(C)C)OC(=O)C)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2O)C)C)(C)C)C)O,High,Yes,No,Yes,Yes,Yes,1
37,Oriental Waterplantain Rhizome,泽泻,MOL000853,alisol B,https://tcmsp-e.com/molecule.php?qn=853,alisol B,XOWUWSRAQZUPJP-ASMOWKBLSA-N,CC(CC(C1C(O1)(C)C)O)C2=C3CC(C4C5(CCC(=O)CC5CCC4(C3(CC2)C)C)C)O,High,Yes,No,Yes,Yes,Yes,1
38,Oriental Waterplantain Rhizome,泽泻,MOL000854,alisol C,https://tcmsp-e.com/molecule.php?qn=854,alisol C,DORJGGFFCMZTHW-KXVAGGRESA-N,CC(CC(C1C(O1)(C)C)O)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2=O)C)C)(C)C)C)O,High,Yes,No,Yes,Yes,Yes,1
39,Oriental Waterplantain Rhizome,泽泻,MOL000855,alisol B monoacetate,https://tcmsp-e.com/molecule.php?qn=855,alisol B monoacetate,CPYFCYMXHGAZTF-LBYHYINDSA-N,CC(CC(CC(=O)O)(C1C(O1)(C)C)O)C2=C3CC(C4C(C3(CC2)C)CCC5C4(CCC(=O)C5(C)C)C)O,High,Yes,No,Yes,Yes,Yes,1
40,Oriental Waterplantain Rhizome,泽泻,MOL000856,alisol C monoacetate,https://tcmsp-e.com/molecule.php?qn=856,alisol C monoacetate,ASLMFNXUVSRDIK-HUMQYHNISA-N,CCC1CC2=C([C@H](C)C[C@H](OC(C)=O)C3COC3(C)C)C(=O)CC23CC2CC4C(CCC(=O)C4(C)C)C1C23,High,No,No,Yes,No,No,0
41,Oriental Waterplantain Rhizome,泽泻,MOL000857,NCA,https://tcmsp-e.com/molecule.php?qn=857,NCA,DFPAKSUCGFBDDF-UHFFFAOYSA-N,C1=CC(=CN=C1)C(=O)N,High,Yes,No,Yes,Yes,No,1
42,Oriental Waterplantain Rhizome,泽泻,MOL000858,Glycerol palmitate,https://tcmsp-e.com/molecule.php?qn=858,Glycerol palmitate,QHZLMUACJMDIAE-SFHVURJKSA-N,CCCCCCCCCCCCCCCC(=O)OCC(CO)O,High,Yes,Yes,No,Yes,No,1
43,Oriental Waterplantain Rhizome,泽泻,MOL002464,1-Monolinolein,https://tcmsp-e.com/molecule.php?qn=2464,1-Monolinolein,WECGLUPZRHILCT-GSNKCQISSA-N,CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)O,High,Yes,Yes,No,Yes,No,1
44,Oriental Waterplantain Rhizome,泽泻,MOL000860,stearic acid,https://tcmsp-e.com/molecule.php?qn=860,stearic acid,QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)O,High,Yes,No,No,No,No,0
45,Oriental Waterplantain Rhizome,泽泻,MOL000861,Healip,https://tcmsp-e.com/molecule.php?qn=861,Healip,NOPFSRXAKWQILS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCO,Low,Yes,No,No,No,No,0
46,Oriental Waterplantain Rhizome,泽泻,MOL000862,"[(1S,3R)-1-[(2R)-3,3-dimethyloxiran-2-yl]-3-[(5R,8S,9S,10S,11S,14R)-11-hydroxy-4,4,8,10,14-pentamethyl-3-oxo-1,2,5,6,7,9,11,12,15,16-decahydrocyclopenta[a]phenanthren-17-yl]butyl] acetate",https://tcmsp-e.com/molecule.php?qn=862,"[(1S,3R)-1-[(2R)-3,3-dimethyloxiran-2-yl]-3-[(5R,8S,9S,10S,11S,14R)-11-hydroxy-4,4,8,10,14-pentamethyl-3-oxo-1,2,5,6,7,9,11,12,15,16-decahydrocyclopenta[a]phenanthren-17-yl]butyl] acetate",NLOAQXKIIGTTRE-JSWHPQHOSA-N,CC(CC(C1C(O1)(C)C)OC(=O)C)C2=C3CC(C4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)O,High,No,No,Yes,No,No,0
1,Poria,茯苓,MOL000273,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-methylhept-5-enoic acid",https://tcmsp-e.com/molecule.php?qn=273,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-6-methylhept-5-enoic acid",XSLKAKROJKMHIT-WIUKAADNSA-N,CC(=CCCC(C1C(CC2(C1(CC=C3C2=CCC4C3(CCC(C4(C)C)O)C)C)C)O)C(=O)O)C,High,Yes,No,Yes,No,No,1
2,Poria,茯苓,MOL000274,"3β-hydroxylanosta-7,9(11),24-trien-21-oic acid",https://tcmsp-e.com/molecule.php?qn=274,"3β-hydroxylanosta-7,9(11),24-trien-21-oic acid",QFPLAAZRZNKRRY-GIICLEHTSA-N,CC(=CCCC(C1CCC2(C1(CC=C3C2=CCC4C3(CCC(C4(C)C)O)C)C)C)C(=O)O)C,Low,Yes,No,Yes,No,No,0
3,Poria,茯苓,MOL000275,trametenolic acid,https://tcmsp-e.com/molecule.php?qn=275,trametenolic acid,NBSBUIQBEPROBM-QPOZJWKMSA-N,CC(=CCCC(C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C)C(=O)O)C,Low,Yes,No,Yes,No,No,0
4,Poria,茯苓,MOL000276,"7,9(11)-dehydropachymic acid",https://tcmsp-e.com/molecule.php?qn=276,"7,9(11)-dehydropachymic acid",RWIALJIVPUCERT-DRCQUEPLSA-N,CC(C)C(=C)CCC(C1C(CC2(C1(CC=C3C2=CCC4C3(CCC(C4(C)C)OC(=O)C)C)C)C)O)C(=O)O,Low,No,No,Yes,No,No,0
5,Poria,茯苓,MOL000277,tumulosic acid,https://tcmsp-e.com/molecule.php?qn=277,tumulosic acid,XADJANKGURNTIA-LRNUYZPVSA-N,CC(C)C(=C)CCC(C1C(CC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C)O)C(=O)O,Low,Yes,No,Yes,No,No,0
6,Poria,茯苓,MOL000278,Beta-Glucan,https://tcmsp-e.com/molecule.php?qn=278,Beta-Glucan,ZPQXKRIFKWEPFT-XTERFWCXSA-N,-,-,-,-,-,-,-,-
7,Poria,茯苓,MOL000279,Cerevisterol,https://tcmsp-e.com/molecule.php?qn=279,Cerevisterol,ARXHRTZAVQOQEU-BRVLHLJYSA-N,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC(C4(C3(CCC(C4)O)C)O)O)C,High,Yes,No,Yes,Yes,No,1
8,Poria,茯苓,MOL000280,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",https://tcmsp-e.com/molecule.php?qn=280,"(2R)-2-[(3S,5R,10S,13R,14R,16R,17R)-3,16-dihydroxy-4,4,10,13,14-pentamethyl-2,3,5,6,12,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",LADJWZMBZBVBSB-YEXRKOARSA-N,CC(C)C(=C)CCC(C1C(CC2(C1(CC=C3C2=CCC4C3(CCC(C4(C)C)O)C)C)C)O)C(=O)O,Low,Yes,No,Yes,No,No,0
9,Poria,茯苓,MOL000281,Dimethyl L-malate,https://tcmsp-e.com/molecule.php?qn=281,Dimethyl L-malate,YSEKNCXYRGKTBJ-BYPYZUCNSA-N,COC(=O)CC(C(=O)OC)O,High,Yes,No,Yes,Yes,No,1
10,Poria,茯苓,MOL000282,"ergosta-7,22E-dien-3beta-ol",https://tcmsp-e.com/molecule.php?qn=282,"ergosta-7,22E-dien-3beta-ol",QOXPZVASXWSKKU-UEIWAABPSA-N,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C,Low,Yes,No,Yes,No,No,0
11,Poria,泽泻,MOL000283,Ergosterol peroxide,https://tcmsp-e.com/molecule.php?qn=283,Ergosterol peroxide,PIENIXCJUGJKPI-JYJMTLRPSA-N,CC(CC[C@H](C)C(C)C)C1CCC2C34C=CC56CC(O)CCC5C3(CC[C@]12C)O4O6,High,Yes,No,Yes,No,No,1
12,Poria,茯苓,MOL000284,L-uridine,https://tcmsp-e.com/molecule.php?qn=284,L-uridine,DRTQHJPVMGBUCF-YDLFOAGRSA-N,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,Low,Yes,No,Yes,Yes,Yes,0
13,Poria,茯苓,MOL000285,"(2R)-2-[(5R,10S,13R,14R,16R,17R)-16-hydroxy-3-keto-4,4,10,13,14-pentamethyl-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",https://tcmsp-e.com/molecule.php?qn=285,"(2R)-2-[(5R,10S,13R,14R,16R,17R)-16-hydroxy-3-keto-4,4,10,13,14-pentamethyl-1,2,5,6,12,15,16,17-octahydrocyclopenta[a]phenanthren-17-yl]-5-isopropyl-hex-5-enoic acid",KPKYWYZPIVAHKU-WMNQUVFJSA-N,CC(C)C(=C)CCC(C1C(CC2(C1(CC=C3C2=CCC4C3(CCC(=O)C4(C)C)C)C)C)O)C(=O)O,Low,Yes,No,Yes,No,No,0
14,Poria,茯苓,MOL000286,β-amyrin acetate,https://tcmsp-e.com/molecule.php?qn=286,β-amyrin acetate,UMRPOGLIBDXFNK-OAPBINRDSA-N,CC(=O)OC1CCC2(C(C1(C)C)CCC3(C2CC=C4C3(CCC5(C4CC(CC5)(C)C)C)C)C)C,Low,Yes,No,Yes,No,No,0
15,Poria,茯苓,MOL000287,3beta-Hydroxy-24-methylene-8-lanostene-21-oic acid,https://tcmsp-e.com/molecule.php?qn=287,3beta-Hydroxy-24-methylene-8-lanostene-21-oic acid,UGMQOYZVOPASJF-OXUZYLMNSA-N,CC(C)C(=C)CCC(C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C)C(=O)O,Low,Yes,No,Yes,No,No,0
16,Poria,茯苓,MOL000288,pachyman,https://tcmsp-e.com/molecule.php?qn=288,pachyman,NIYBKJUSOBQQHP-KXAHLBEVSA-N,-,-,-,-,-,-,-,-
17,Poria,茯苓,MOL000289,pachymic acid,https://tcmsp-e.com/molecule.php?qn=289,pachymic acid,VDYCLYGKCGVBHN-KVPCPLELSA-N,C=C(CCC(C(=O)O)C1[C@H](O)C[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(OC(C)=O)C(C)(C)C1CC3)C(C)C,Low,Yes,No,Yes,No,No,0
18,Poria,茯苓,MOL000290,Poricoic acid A,https://tcmsp-e.com/molecule.php?qn=290,Poricoic acid A,KVAQLXUMUVEKGR-SMFZDKLCSA-N,CC(C)C(=C)CCC(C1C(CC2(C1(CC=C3C2=CCC(C3(C)CCC(=O)O)C(=C)C)C)C)O)C(=O)O,Low,Yes,No,Yes,No,No,0
19,Poria,茯苓,MOL000291,Poricoic acid B,https://tcmsp-e.com/molecule.php?qn=291,Poricoic acid B,NXAZWYWJZDFISF-KXGBKNTBSA-N,CC(=CCCC(C1C(CC2(C1(CC=C3C2=CCC(C3(C)CCC(=O)O)C(=C)C)C)C)O)C(=O)O)C,Low,Yes,No,Yes,No,No,0
20,Poria,茯苓,MOL000292,poricoic acid C,https://tcmsp-e.com/molecule.php?qn=292,poricoic acid C,QFVFCBZDUKVXLR-PKSIZLAPSA-N,CC(C)C(=C)CCC(C1CCC2(C1(CC=C3C2=CCC(C3(C)CCC(=O)O)C(=C)C)C)C)C(=O)O,Low,Yes,No,Yes,No,No,0
21,Poria,茯苓,MOL000293,poricoic acid D,https://tcmsp-e.com/molecule.php?qn=293,poricoic acid D,DJHQMAXOQISYNY-MHJHVFNMSA-N,CC(=C)C1CC=C2C(=CCC3(C2(CC(C3C(CCC(=C)C(C)(C)O)C(=O)O)O)C)C)C1(C)CCC(=O)O,Low,Yes,No,Yes,No,Yes,0
22,Poria,茯苓,MOL000294,poricoic acid DM,https://tcmsp-e.com/molecule.php?qn=294,poricoic acid DM,BLNBMYVNDVNBFI-SYNSMGNMSA-N,C=C(CCC(C(=O)O)C1[C@@H](O)C[C@@]2(C)C3=CCC(C(C)C)C(C)(CCCC(=O)OC)C3=CC[C@]12C)C(C)(C)O,Low,Yes,No,Yes,No,No,0
23,Poria,茯苓,MOL000295,alexandrin,https://tcmsp-e.com/molecule.php?qn=295,alexandrin,NPJICTMALKLTFW-LJBLLCJFSA-N,CCC1O[C@@H](O[C@H](CC)CC2=CCC3C(CC2)CC[C@]2(C)C(C(C)CC[C@@H](CC)C(C)C)CCC32)C(O)C(C)C1C,Low,Yes,No,Yes,No,No,0
24,Poria,茯苓,MOL000296,hederagenin,https://tcmsp-e.com/molecule.php?qn=296,hederagenin,KZJWDPNRJALLNS-CQXWNKEUSA-N,CCC(CCCC1CCC2C3CC=C4CC(O)CC[C@]4(C)C3CC[C@]12C)C(C)C,Low,Yes,No,Yes,No,No,0
25,Poria,茯苓,MOL000297,Tumulosic acid,https://tcmsp-e.com/molecule.php?qn=297,Tumulosic acid,XADJANKGURNTIA-YEXRKOARSA-N,CC(C)C(=C)CCC(C1C(CC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C)O)C(=O)O,Low,Yes,No,Yes,No,No,0
26,Poria,茯苓,MOL000298,ergosterol,https://tcmsp-e.com/molecule.php?qn=298,ergosterol,DNVPQKQSNYMLRS-APGDWVJJSA-N,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,Low,Yes,No,Yes,No,No,0
27,Poria,茯苓,MOL000299,Trimethyl citrate,https://tcmsp-e.com/molecule.php?qn=299,Trimethyl citrate,HDDLVZWGOPWKFW-UHFFFAOYSA-N,COC(=O)CC(CC(=O)OC)(C(=O)OC)O,High,Yes,No,Yes,Yes,Yes,1
28,Poria,茯苓,MOL000300,dehydroeburicoic acid,https://tcmsp-e.com/molecule.php?qn=300,dehydroeburicoic acid,WZWOZRZYBSGARK-NUPWKHSHSA-N,C=C(CCC(C(=O)O)C1CCC2C3=CCC4C(CC)(CCC(O)C4(C)C)C3=CC(CC)C21)C(C)C,Low,Yes,No,Yes,No,No,0
