Node	Type	Anemarrhena Rhizome	Eclipta Herb	Asiatic Cornelian Cherry Fruit	Prepared Rehmannia Root	Moutan Root Bark	Dioscorea Rhizome	Glossy Privet Fruit	Oriental Waterplantain Rhizome	Rehmannia Root	Poria
HSP90AA1	gene	0	0	0	0	0	0	0	0	0	0
MAPK1	gene	0	0	0	0	0	0	0	0	0	0
ALOX5	gene	0	0	0	0	0	0	0	0	0	0
PTGS1	gene	0	0	0	0	0	0	0	0	0	0
CCR1	gene	0	0	0	0	0	0	0	0	0	0
CSF1R	gene	0	0	0	0	0	0	0	0	0	0
PPP2CA	gene	0	0	0	0	0	0	0	0	0	0
MDM2	gene	0	0	0	0	0	0	0	0	0	0
CCND1	gene	0	0	0	0	0	0	0	0	0	0
DYRK1A	gene	0	0	0	0	0	0	0	0	0	0
CDK2	gene	0	0	0	0	0	0	0	0	0	0
CLK2	gene	0	0	0	0	0	0	0	0	0	0
P2RX3	gene	0	0	0	0	0	0	0	0	0	0
F10	gene	0	0	0	0	0	0	0	0	0	0
VDR	gene	0	0	0	0	0	0	0	0	0	0
LRRK2	gene	0	0	0	0	0	0	0	0	0	0
MAPK11	gene	0	0	0	0	0	0	0	0	0	0
PRKCH	gene	0	0	0	0	0	0	0	0	0	0
NTRK1	gene	0	0	0	0	0	0	0	0	0	0
ITGAL	gene	0	0	0	0	0	0	0	0	0	0
DPP4	gene	0	0	0	0	0	0	0	0	0	0
PREP	gene	0	0	0	0	0	0	0	0	0	0
RPS6KB1	gene	0	0	0	0	0	0	0	0	0	0
ACVRL1	gene	0	0	0	0	0	0	0	0	0	0
ROCK2	gene	0	0	0	0	0	0	0	0	0	0
PRKCD	gene	0	0	0	0	0	0	0	0	0	0
PRKCQ	gene	0	0	0	0	0	0	0	0	0	0
HSD11B2	gene	0	0	0	0	0	0	0	0	0	0
TYRO3	gene	0	0	0	0	0	0	0	0	0	0
MERTK	gene	0	0	0	0	0	0	0	0	0	0
NR1I2	gene	0	0	0	0	0	0	0	0	0	0
AVPR1A	gene	0	0	0	0	0	0	0	0	0	0
INSR	gene	0	0	0	0	0	0	0	0	0	0
ITK	gene	0	0	0	0	0	0	0	0	0	0
MTNR1B	gene	0	0	0	0	0	0	0	0	0	0
CASR	gene	0	0	0	0	0	0	0	0	0	0
PGR	gene	0	0	0	0	0	0	0	0	0	0
NAMPT	gene	0	0	0	0	0	0	0	0	0	0
NOS2	gene	0	0	0	0	0	0	0	0	0	0
ACACB	gene	0	0	0	0	0	0	0	0	0	0
PRKCB	gene	0	0	0	0	0	0	0	0	0	0
MAPK10	gene	0	0	0	0	0	0	0	0	0	0
PDE2A	gene	0	0	0	0	0	0	0	0	0	0
CDK1	gene	0	0	0	0	0	0	0	0	0	0
MAP3K14	gene	0	0	0	0	0	0	0	0	0	0
IGF1R	gene	0	0	0	0	0	0	0	0	0	0
F2	gene	0	0	0	0	0	0	0	0	0	0
SMO	gene	0	0	0	0	0	0	0	0	0	0
MAPK8	gene	0	0	0	0	0	0	0	0	0	0
FYN	gene	0	0	0	0	0	0	0	0	0	0
YES1	gene	0	0	0	0	0	0	0	0	0	0
SRC	gene	0	0	0	0	0	0	0	0	0	0
GRIN2A	gene	0	0	0	0	0	0	0	0	0	0
GRIA2	gene	0	0	0	0	0	0	0	0	0	0
PIK3C3	gene	0	0	0	0	0	0	0	0	0	0
MAPKAPK2	gene	0	0	0	0	0	0	0	0	0	0
EZH2	gene	0	0	0	0	0	0	0	0	0	0
CXCR3	gene	0	0	0	0	0	0	0	0	0	0
IL6ST	gene	0	0	0	0	0	0	0	0	0	0
PDGFRA	gene	0	0	0	0	0	0	0	0	0	0
ADORA2A	gene	0	0	0	0	0	0	0	0	0	0
EPHB3	gene	0	0	0	0	0	0	0	0	0	0
MAP3K11	gene	0	0	0	0	0	0	0	0	0	0
TACR1	gene	0	0	0	0	0	0	0	0	0	0
TGFBR2	gene	0	0	0	0	0	0	0	0	0	0
TGFBR1	gene	0	0	0	0	0	0	0	0	0	0
FLT1	gene	0	0	0	0	0	0	0	0	0	0
PDGFRB	gene	0	0	0	0	0	0	0	0	0	0
KIT	gene	0	0	0	0	0	0	0	0	0	0
RET	gene	0	0	0	0	0	0	0	0	0	0
FGFR3	gene	0	0	0	0	0	0	0	0	0	0
ZAP70	gene	0	0	0	0	0	0	0	0	0	0
TNF	gene	0	0	0	0	0	0	0	0	0	0
F2R	gene	0	0	0	0	0	0	0	0	0	0
CYP24A1	gene	0	0	0	0	0	0	0	0	0	0
MAPK3	gene	0	0	0	0	0	0	0	0	0	0
C5AR1	gene	0	0	0	0	0	0	0	0	0	0
KCNA3	gene	0	0	0	0	0	0	0	0	0	0
DUT	gene	0	0	0	0	0	0	0	0	0	0
IKBKB	gene	0	0	0	0	0	0	0	0	0	0
CHUK	gene	0	0	0	0	0	0	0	0	0	0
RAF1	gene	0	0	0	0	0	0	0	0	0	0
ADORA1	gene	0	0	0	0	0	0	0	0	0	0
MMP1	gene	0	0	0	0	0	0	0	0	0	0
RASGRP3	gene	0	0	0	0	0	0	0	0	0	0
BRAF	gene	0	0	0	0	0	0	0	0	0	0
MMP3	gene	0	0	0	0	0	0	0	0	0	0
MMP9	gene	0	0	0	0	0	0	0	0	0	0
VEGFA	gene	0	0	0	0	0	0	0	0	0	0
FGF1	gene	0	0	0	0	0	0	0	0	0	0
FGF2	gene	0	0	0	0	0	0	0	0	0	0
MPO	gene	0	0	0	0	0	0	0	0	0	0
CXCR2	gene	0	0	0	0	0	0	0	0	0	0
CYP11B1	gene	0	0	0	0	0	0	0	0	0	0
CYP11B2	gene	0	0	0	0	0	0	0	0	0	0
LIPA	gene	0	0	0	0	0	0	0	0	0	0
XIAP	gene	0	0	0	0	0	0	0	0	0	0
ERN1	gene	0	0	0	0	0	0	0	0	0	0
AKT1	gene	0	0	0	0	0	0	0	0	0	0
VAV1	gene	0	0	0	0	0	0	0	0	0	0
F2RL1	gene	0	0	0	0	0	0	0	0	0	0
EDNRB	gene	0	0	0	0	0	0	0	0	0	0
CTSS	gene	0	0	0	0	0	0	0	0	0	0
CTSL	gene	0	0	0	0	0	0	0	0	0	0
SCN9A	gene	0	0	0	0	0	0	0	0	0	0
ADAM17	gene	0	0	0	0	0	0	0	0	0	0
ADAM10	gene	0	0	0	0	0	0	0	0	0	0
ADAMTS4	gene	0	0	0	0	0	0	0	0	0	0
DRD4	gene	0	0	0	0	0	0	0	0	0	0
HTR2A	gene	0	0	0	0	0	0	0	0	0	0
KCNH2	gene	0	0	0	0	0	0	0	0	0	0
LDLR	gene	0	0	0	0	0	0	0	0	0	0
ADA	gene	0	0	0	0	0	0	0	0	0	0
CDK5	gene	0	0	0	0	0	0	0	0	0	0
MC1R	gene	0	0	0	0	0	0	0	0	0	0
HSP90AB1	gene	0	0	0	0	0	0	0	0	0	0
JUN	gene	0	0	0	0	0	0	0	0	0	0
CAPN1	gene	0	0	0	0	0	0	0	0	0	0
F9	gene	0	0	0	0	0	0	0	0	0	0
OPRM1	gene	0	0	0	0	0	0	0	0	0	0
ACKR3	gene	0	0	0	0	0	0	0	0	0	0
OXTR	gene	0	0	0	0	0	0	0	0	0	0
PFKFB3	gene	0	0	0	0	0	0	0	0	0	0
MAPK13	gene	0	0	0	0	0	0	0	0	0	0
P2RX7	gene	0	0	0	0	0	0	0	0	0	0
AGTR1	gene	0	0	0	0	0	0	0	0	0	0
CYP26A1	gene	0	0	0	0	0	0	0	0	0	0
NLRP3	gene	0	0	0	0	0	0	0	0	0	0
ITGB1	gene	0	0	0	0	0	0	0	0	0	0
ACE	gene	0	0	0	0	0	0	0	0	0	0
RARB	gene	0	0	0	0	0	0	0	0	0	0
CYP3A4	gene	0	0	0	0	0	0	0	0	0	0
CTSA	gene	0	0	0	0	0	0	0	0	0	0
CASP3	gene	0	0	0	0	0	0	0	0	0	0
CASP8	gene	0	0	0	0	0	0	0	0	0	0
ITGA4	gene	0	0	0	0	0	0	0	0	0	0
SERPINE1	gene	0	0	0	0	0	0	0	0	0	0
TYMS	gene	0	0	0	0	0	0	0	0	0	0
PLA2G2A	gene	0	0	0	0	0	0	0	0	0	0
AMPD2	gene	0	0	0	0	0	0	0	0	0	0
SSTR3	gene	0	0	0	0	0	0	0	0	0	0
HRH1	gene	0	0	0	0	0	0	0	0	0	0
MMP2	gene	0	0	0	0	0	0	0	0	0	0
BACE2	gene	0	0	0	0	0	0	0	0	0	0
FGFR1	gene	0	0	0	0	0	0	0	0	0	0
TP53	gene	0	0	0	0	0	0	0	0	0	0
AGTR2	gene	0	0	0	0	0	0	0	0	0	0
STAT5B	gene	0	0	0	0	0	0	0	0	0	0
S1PR2	gene	0	0	0	0	0	0	0	0	0	0
PTPN22	gene	0	0	0	0	0	0	0	0	0	0
TNK2	gene	0	0	0	0	0	0	0	0	0	0
GCG	gene	0	0	0	0	0	0	0	0	0	0
PIK3CG	gene	0	0	0	0	0	0	0	0	0	0
CASP1	gene	0	0	0	0	0	0	0	0	0	0
CPT2	gene	0	0	0	0	0	0	0	0	0	0
SIRT2	gene	0	0	0	0	0	0	0	0	0	0
ACP1	gene	0	0	0	0	0	0	0	0	0	0
S1PR1	gene	0	0	0	0	0	0	0	0	0	0
IL2	gene	0	0	0	0	0	0	0	0	0	0
IKBKE	gene	0	0	0	0	0	0	0	0	0	0
TBK1	gene	0	0	0	0	0	0	0	0	0	0
HPGD	gene	0	0	0	0	0	0	0	0	0	0
SRD5A1	gene	0	0	0	0	0	0	0	0	0	0
ERBB2	gene	0	0	0	0	0	0	0	0	0	0
LPAR1	gene	0	0	0	0	0	0	0	0	0	0
LPAR4	gene	0	0	0	0	0	0	0	0	0	0
RBP4	gene	0	0	0	0	0	0	0	0	0	0
MAP2	gene	0	0	0	0	0	0	0	0	0	0
CDK4	gene	0	0	0	0	0	0	0	0	0	0
SLC8A1	gene	0	0	0	0	0	0	0	0	0	0
CLK3	gene	0	0	0	0	0	0	0	0	0	0
CDK3	gene	0	0	0	0	0	0	0	0	0	0
CDK18	gene	0	0	0	0	0	0	0	0	0	0
S1PR4	gene	0	0	0	0	0	0	0	0	0	0
SRD5A2	gene	0	0	0	0	0	0	0	0	0	0
CYP2A6	gene	0	0	0	0	0	0	0	0	0	0
POLB	gene	0	0	0	0	0	0	0	0	0	0
PTPRF	gene	0	0	0	0	0	0	0	0	0	0
ALOX5AP	gene	0	0	0	0	0	0	0	0	0	0
PTPN11	gene	0	0	0	0	0	0	0	0	0	0
HAO1	gene	0	0	0	0	0	0	0	0	0	0
EDNRA	gene	0	0	0	0	0	0	0	0	0	0
ECE1	gene	0	0	0	0	0	0	0	0	0	0
CHRM1	gene	0	0	0	0	0	0	0	0	0	0
SLC16A1	gene	0	0	0	0	0	0	0	0	0	0
ALK	gene	0	0	0	0	0	0	0	0	0	0
DRD2	gene	0	0	0	0	0	0	0	0	0	0
CYP2D6	gene	0	0	0	0	0	0	0	0	0	0
CYP2C9	gene	0	0	0	0	0	0	0	0	0	0
CCND3	gene	0	0	0	0	0	0	0	0	0	0
FABP4	gene	0	0	0	0	0	0	0	0	0	0
SLC22A6	gene	0	0	0	0	0	0	0	0	0	0
GABBR1	gene	0	0	0	0	0	0	0	0	0	0
CA2	gene	0	0	0	0	0	0	0	0	0	0
CA1	gene	0	0	0	0	0	0	0	0	0	0
SLC22A12	gene	0	0	0	0	0	0	0	0	0	0
CHRNA7	gene	0	0	0	0	0	0	0	0	0	0
PTPRC	gene	0	0	0	0	0	0	0	0	0	0
RXRA	gene	0	0	0	0	0	0	0	0	0	0
LGALS3	gene	0	0	0	0	0	0	0	0	0	0
LGALS8	gene	0	0	0	0	0	0	0	0	0	0
RXRB	gene	0	0	0	0	0	0	0	0	0	0
ALOX15	gene	0	0	0	0	0	0	0	0	0	0
PLG	gene	0	0	0	0	0	0	0	0	0	0
HTR2B	gene	0	0	0	0	0	0	0	0	0	0
TPMT	gene	0	0	0	0	0	0	0	0	0	0
KDM6B	gene	0	0	0	0	0	0	0	0	0	0
KDM4C	gene	0	0	0	0	0	0	0	0	0	0
MIF	gene	0	0	0	0	0	0	0	0	0	0
TLR4	gene	0	0	0	0	0	0	0	0	0	0
NGFR	gene	0	0	0	0	0	0	0	0	0	0
CYP1A2	gene	0	0	0	0	0	0	0	0	0	0
F3	gene	0	0	0	0	0	0	0	0	0	0
NFE2L2	gene	0	0	0	0	0	0	0	0	0	0
STAT3	gene	0	0	0	0	0	0	0	0	0	0
HDAC6	gene	0	0	0	0	0	0	0	0	0	0
CHRNA3	gene	0	0	0	0	0	0	0	0	0	0
CHRNA4	gene	0	0	0	0	0	0	0	0	0	0
ALPL	gene	0	0	0	0	0	0	0	0	0	0
TDO2	gene	0	0	0	0	0	0	0	0	0	0
EP300	gene	0	0	0	0	0	0	0	0	0	0
COMT	gene	0	0	0	0	0	0	0	0	0	0
MB	gene	0	0	0	0	0	0	0	0	0	0
PLEC	gene	0	0	0	0	0	0	0	0	0	0
ALDH5A1	gene	0	0	0	0	0	0	0	0	0	0
GPR35	gene	0	0	0	0	0	0	0	0	0	0
PTK2	gene	0	0	0	0	0	0	0	0	0	0
TEK	gene	0	0	0	0	0	0	0	0	0	0
HSPA1A	gene	0	0	0	0	0	0	0	0	0	0
FGR	gene	0	0	0	0	0	0	0	0	0	0
LYN	gene	0	0	0	0	0	0	0	0	0	0
NFKB1	gene	0	0	0	0	0	0	0	0	0	0
GSR	gene	0	0	0	0	0	0	0	0	0	0
MAOA	gene	0	0	0	0	0	0	0	0	0	0
AHR	gene	0	0	0	0	0	0	0	0	0	0
ARG1	gene	0	0	0	0	0	0	0	0	0	0
AKR1C1	gene	0	0	0	0	0	0	0	0	0	0
MMP12	gene	0	0	0	0	0	0	0	0	0	0
CD38	gene	0	0	0	0	0	0	0	0	0	0
MAPT	gene	0	0	0	0	0	0	0	0	0	0
BCL2L1	gene	0	0	0	0	0	0	0	0	0	0
HSPA5	gene	0	0	0	0	0	0	0	0	0	0
HSPA8	gene	0	0	0	0	0	0	0	0	0	0
PNP	gene	0	0	0	0	0	0	0	0	0	0
AHCY	gene	0	0	0	0	0	0	0	0	0	0
CDA	gene	0	0	0	0	0	0	0	0	0	0
HDAC1	gene	0	0	0	0	0	0	0	0	0	0
PIN1	gene	0	0	0	0	0	0	0	0	0	0
GSTP1	gene	0	0	0	0	0	0	0	0	0	0
NAT1	gene	0	0	0	0	0	0	0	0	0	0
HDAC7	gene	0	0	0	0	0	0	0	0	0	0
ALB	gene	0	0	0	0	0	0	0	0	0	0
SIRT1	gene	0	0	0	0	0	0	0	0	0	0
CASP6	gene	0	0	0	0	0	0	0	0	0	0
ATIC	gene	0	0	0	0	0	0	0	0	0	0
PTPN6	gene	0	0	0	0	0	0	0	0	0	0
APEX1	gene	0	0	0	0	0	0	0	0	0	0
KCNJ1	gene	0	0	0	0	0	0	0	0	0	0
LGALS9	gene	0	0	0	0	0	0	0	0	0	0
CCR3	gene	0	0	0	0	0	0	0	0	0	0
HLA-DRB1	gene	0	0	0	0	0	0	0	0	0	0
PSENEN	gene	0	0	0	0	0	0	0	0	0	0
ITGA2B	gene	0	0	0	0	0	0	0	0	0	0
SCN10A	gene	0	0	0	0	0	0	0	0	0	0
HIF1A	gene	0	0	0	0	0	0	0	0	0	0
NR5A1	gene	0	0	0	0	0	0	0	0	0	0
HDAC2	gene	0	0	0	0	0	0	0	0	0	0
TACR3	gene	0	0	0	0	0	0	0	0	0	0
NFKBIA	gene	0	0	0	0	0	0	0	0	0	0
MKNK2	gene	0	0	0	0	0	0	0	0	0	0
SLC27A1	gene	0	0	0	0	0	0	0	0	0	0
TLR9	gene	0	0	0	0	0	0	0	0	0	0
STS	gene	0	0	0	0	0	0	0	0	0	0
ADRA2C	gene	0	0	0	0	0	0	0	0	0	0
ADRA1D	gene	0	0	0	0	0	0	0	0	0	0
CHRM3	gene	0	0	0	0	0	0	0	0	0	0
ALDH2	gene	0	0	0	0	0	0	0	0	0	0
DHFR	gene	0	0	0	0	0	0	0	0	0	0
VCP	gene	0	0	0	0	0	0	0	0	0	0
HSD3B2	gene	0	0	0	0	0	0	0	0	0	0
DDO	gene	0	0	0	0	0	0	0	0	0	0
PDE5A	gene	0	0	0	0	0	0	0	0	0	0
HSP90B1	gene	0	0	0	0	0	0	0	0	0	0
PLAU	gene	0	0	0	0	0	0	0	0	0	0
CALCA	gene	0	0	0	0	0	0	0	0	0	0
CTNNB1	gene	0	0	0	0	0	0	0	0	0	0
MAN2A1	gene	0	0	0	0	0	0	0	0	0	0
HTR1A	gene	0	0	0	0	0	0	0	0	0	0
DYRK2	gene	0	0	0	0	0	0	0	0	0	0
VHL	gene	0	0	0	0	0	0	0	0	0	0
TRAP1	gene	0	0	0	0	0	0	0	0	0	0
IRAK4	gene	0	0	0	0	0	0	0	0	0	0
PRKACA	gene	0	0	0	0	0	0	0	0	0	0
RPS6KA3	gene	0	0	0	0	0	0	0	0	0	0
CREBBP	gene	0	0	0	0	0	0	0	0	0	0
CHRNB1	gene	0	0	0	0	0	0	0	0	0	0
HMOX1	gene	0	0	0	0	0	0	0	0	0	0
KCNJ11	gene	0	0	0	0	0	0	0	0	0	0
PRSS1	gene	0	0	0	0	0	0	0	0	0	0
AOC3	gene	0	0	0	0	0	0	0	0	0	0
CCR5	gene	0	0	0	0	0	0	0	0	0	0
RASGRP1	gene	0	0	0	0	0	0	0	0	0	0
ADRA1B	gene	0	0	0	0	0	0	0	0	0	0
PRF1	gene	0	0	0	0	0	0	0	0	0	0
DNM1	gene	0	0	0	0	0	0	0	0	0	0
GLI2	gene	0	0	0	0	0	0	0	0	0	0
BMP1	gene	0	0	0	0	0	0	0	0	0	0
EPHA2	gene	0	0	0	0	0	0	0	0	0	0
EPHB2	gene	0	0	0	0	0	0	0	0	0	0
EPHA3	gene	0	0	0	0	0	0	0	0	0	0
EPHB1	gene	0	0	0	0	0	0	0	0	0	0
AKT2	gene	0	0	0	0	0	0	0	0	0	0
HPGDS	gene	0	0	0	0	0	0	0	0	0	0
HTR3A	gene	0	0	0	0	0	0	0	0	0	0
PDE4C	gene	0	0	0	0	0	0	0	0	0	0
NTRK2	gene	0	0	0	0	0	0	0	0	0	0
NTRK3	gene	0	0	0	0	0	0	0	0	0	0
RIPK2	gene	0	0	0	0	0	0	0	0	0	0
TAOK3	gene	0	0	0	0	0	0	0	0	0	0
LNPEP	gene	0	0	0	0	0	0	0	0	0	0
FOXO1	gene	0	0	0	0	0	0	0	0	0	0
ATP12A	gene	0	0	0	0	0	0	0	0	0	0
MCHR1	gene	0	0	0	0	0	0	0	0	0	0
PGK1	gene	0	0	0	0	0	0	0	0	0	0
TSPO	gene	0	0	0	0	0	0	0	0	0	0
PLA2G7	gene	0	0	0	0	0	0	0	0	0	0
PDE4A	gene	0	0	0	0	0	0	0	0	0	0
PTK6	gene	0	0	0	0	0	0	0	0	0	0
ST6GAL1	gene	0	0	0	0	0	0	0	0	0	0
CYP1A1	gene	0	0	0	0	0	0	0	0	0	0
PLA2G10	gene	0	0	0	0	0	0	0	0	0	0
DNMT1	gene	0	0	0	0	0	0	0	0	0	0
STAT1	gene	0	0	0	0	0	0	0	0	0	0
IGFBP3	gene	0	0	0	0	0	0	0	0	0	0
SNCA	gene	0	0	0	0	0	0	0	0	0	0
CCNA2	gene	0	0	0	0	0	0	0	0	0	0
SBK1	gene	0	0	0	0	0	0	0	0	0	0
DSTYK	gene	0	0	0	0	0	0	0	0	0	0
BLK	gene	0	0	0	0	0	0	0	0	0	0
CAMK1	gene	0	0	0	0	0	0	0	0	0	0
CAMK4	gene	0	0	0	0	0	0	0	0	0	0
PON1	gene	0	0	0	0	0	0	0	0	0	0
PLAT	gene	0	0	0	0	0	0	0	0	0	0
IGFBP4	gene	0	0	0	0	0	0	0	0	0	0
IGFBP2	gene	0	0	0	0	0	0	0	0	0	0
IL6	gene	0	0	0	0	0	0	0	0	0	0
GRM4	gene	0	0	0	0	0	0	0	0	0	0
BDKRB1	gene	0	0	0	0	0	0	0	0	0	0
STIM1	gene	0	0	0	0	0	0	0	0	0	0
FEN1	gene	0	0	0	0	0	0	0	0	0	0
CXCR4	gene	0	0	0	0	0	0	0	0	0	0
PI4KB	gene	0	0	0	0	0	0	0	0	0	0
CSNK2A2	gene	0	0	0	0	0	0	0	0	0	0
PPIA	gene	0	0	0	0	0	0	0	0	0	0
FAP	gene	0	0	0	0	0	0	0	0	0	0
HSPB1	gene	0	0	0	0	0	0	0	0	0	0
HRH4	gene	0	0	0	0	0	0	0	0	0	0
EIF2AK3	gene	0	0	0	0	0	0	0	0	0	0
PDE8B	gene	0	0	0	0	0	0	0	0	0	0
DNMT3A	gene	0	0	0	0	0	0	0	0	0	0
CASP9	gene	0	0	0	0	0	0	0	0	0	0
CCR4	gene	0	0	0	0	0	0	0	0	0	0
CCR2	gene	0	0	0	0	0	0	0	0	0	0
TAB1	gene	0	0	0	0	0	0	0	0	0	0
PSEN1	gene	0	0	0	0	0	0	0	0	0	0
SLC7A5	gene	0	0	0	0	0	0	0	0	0	0
TH	gene	0	0	0	0	0	0	0	0	0	0
CPB2	gene	0	0	0	0	0	0	0	0	0	0
SLC15A1	gene	0	0	0	0	0	0	0	0	0	0
PEPD	gene	0	0	0	0	0	0	0	0	0	0
NOS1	gene	0	0	0	0	0	0	0	0	0	0
CASP4	gene	0	0	0	0	0	0	0	0	0	0
NOS3	gene	0	0	0	0	0	0	0	0	0	0
TGM2	gene	0	0	0	0	0	0	0	0	0	0
DRD5	gene	0	0	0	0	0	0	0	0	0	0
PTK2B	gene	0	0	0	0	0	0	0	0	0	0
QDPR	gene	0	0	0	0	0	0	0	0	0	0
ACVR1	gene	0	0	0	0	0	0	0	0	0	0
HDAC4	gene	0	0	0	0	0	0	0	0	0	0
HDAC9	gene	0	0	0	0	0	0	0	0	0	0
PRKD1	gene	0	0	0	0	0	0	0	0	0	0
MSR1	gene	0	0	0	0	0	0	0	0	0	0
SLC1A1	gene	0	0	0	0	0	0	0	0	0	0
GRIK1	gene	0	0	0	0	0	0	0	0	0	0
RNPEP	gene	0	0	0	0	0	0	0	0	0	0
RELA	gene	0	0	0	0	0	0	0	0	0	0
KISS1R	gene	0	0	0	0	0	0	0	0	0	0
KMO	gene	0	0	0	0	0	0	0	0	0	0
GRB2	gene	0	0	0	0	0	0	0	0	0	0
PPOX	gene	0	0	0	0	0	0	0	0	0	0
MAPK12	gene	0	0	0	0	0	0	0	0	0	0
FKBP5	gene	0	0	0	0	0	0	0	0	0	0
PLCG1	gene	0	0	0	0	0	0	0	0	0	0
PSMB2	gene	0	0	0	0	0	0	0	0	0	0
ATP1A1	gene	0	0	0	0	0	0	0	0	0	0
MAP3K7	gene	0	0	0	0	0	0	0	0	0	0
CTSG	gene	0	0	0	0	0	0	0	0	0	0
GNRHR	gene	0	0	0	0	0	0	0	0	0	0
DCK	gene	0	0	0	0	0	0	0	0	0	0
