Node1	Node2	Net	MolName
MOL000826	PTGER1	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	PTGER4	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	JAK3	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	JAK2	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	TYK2	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	CA4	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	SHBG	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	PTGER2	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	ADRB2	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	ADRB1	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	ADRB3	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	CA3	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	BACE1	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	PIK3CD	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	PRKDC	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000826	TYR	target	(1R,3aS,4S,8aR)-7-(2-hydroxypropan-2-yl)-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000827	CYP19A1	target	(1S,3aR,4R,8aS)-7-isopropyl-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000827	AR	target	(1S,3aR,4R,8aS)-7-isopropyl-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000827	NR1H3	target	(1S,3aR,4R,8aS)-7-isopropyl-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000827	ESR1	target	(1S,3aR,4R,8aS)-7-isopropyl-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000827	ESR2	target	(1S,3aR,4R,8aS)-7-isopropyl-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000827	SHBG	target	(1S,3aR,4R,8aS)-7-isopropyl-1,4-dimethyl-2,3,3a,5,6,8a-hexahydroazulene-1,4-diol
MOL000828	NR1H3	target	Alisol A
MOL000828	SERPINA6	target	Alisol A
MOL000828	SHBG	target	Alisol A
MOL000828	HSD11B1	target	Alisol A
MOL000828	G6PD	target	Alisol A
MOL000828	CYP19A1	target	Alisol A
MOL000828	ESR2	target	Alisol A
MOL000828	CYP17A1	target	Alisol A
MOL000828	TERT	target	Alisol A
MOL000828	SLC6A4	target	Alisol A
MOL000828	PPARD	target	Alisol A
MOL000828	FAAH	target	Alisol A
MOL000828	RORC	target	Alisol A
MOL000828	AR	target	Alisol A
MOL000828	CD81	target	Alisol A
MOL000828	PTGER1	target	Alisol A
MOL000828	PTPN2	target	Alisol A
MOL000828	NR3C1	target	Alisol A
MOL000828	HMGCR	target	Alisol A
MOL000828	PTGS2	target	Alisol A
MOL000828	SIGMAR1	target	Alisol A
MOL000828	PRKCA	target	Alisol A
MOL000828	MAPK14	target	Alisol A
MOL000828	PPARG	target	Alisol A
MOL000828	PTGER4	target	Alisol A
MOL000828	MTOR	target	Alisol A
MOL000828	PARP1	target	Alisol A
MOL000828	HSP90AA1	target	Alisol A
MOL000828	MAPK1	target	Alisol A
MOL000828	ALOX5	target	Alisol A
MOL000828	PTGS1	target	Alisol A
MOL000828	CCR1	target	Alisol A
MOL000828	BACE1	target	Alisol A
MOL000828	CSF1R	target	Alisol A
MOL000828	PPP2CA	target	Alisol A
MOL000828	MDM2	target	Alisol A
MOL000828	CCND1	target	Alisol A
MOL000828	DYRK1A	target	Alisol A
MOL000828	CDK2	target	Alisol A
MOL000828	CLK2	target	Alisol A
MOL000828	P2RX3	target	Alisol A
MOL000828	PTGER2	target	Alisol A
MOL000828	F10	target	Alisol A
MOL000828	VDR	target	Alisol A
MOL000828	LRRK2	target	Alisol A
MOL000828	MAPK11	target	Alisol A
MOL000828	PRKCH	target	Alisol A
MOL000828	JAK3	target	Alisol A
MOL000828	NTRK1	target	Alisol A
MOL000828	ITGAL	target	Alisol A
MOL000828	DPP4	target	Alisol A
MOL000828	ESR1	target	Alisol A
MOL000828	PREP	target	Alisol A
MOL000828	PIK3CD	target	Alisol A
MOL000828	RPS6KB1	target	Alisol A
MOL000828	ACVRL1	target	Alisol A
MOL000828	KDR	target	Alisol A
MOL000828	ROCK2	target	Alisol A
MOL000829	HMGCR	target	Alisol A monoacetate
MOL000829	CYP19A1	target	Alisol A monoacetate
MOL000829	HSD11B1	target	Alisol A monoacetate
MOL000829	PRKCA	target	Alisol A monoacetate
MOL000829	PRKCD	target	Alisol A monoacetate
MOL000829	PTGS2	target	Alisol A monoacetate
MOL000829	PRKCQ	target	Alisol A monoacetate
MOL000829	HSD11B2	target	Alisol A monoacetate
MOL000829	GSK3B	target	Alisol A monoacetate
MOL000829	FAAH	target	Alisol A monoacetate
MOL000829	CYP17A1	target	Alisol A monoacetate
MOL000829	P2RX3	target	Alisol A monoacetate
MOL000829	PTPN2	target	Alisol A monoacetate
MOL000829	CCR1	target	Alisol A monoacetate
MOL000829	KDR	target	Alisol A monoacetate
MOL000829	AXL	target	Alisol A monoacetate
MOL000829	TYRO3	target	Alisol A monoacetate
MOL000829	MERTK	target	Alisol A monoacetate
MOL000829	NR1I2	target	Alisol A monoacetate
MOL000829	NR3C1	target	Alisol A monoacetate
MOL000829	AVPR1A	target	Alisol A monoacetate
MOL000829	INSR	target	Alisol A monoacetate
MOL000829	ITK	target	Alisol A monoacetate
MOL000829	AR	target	Alisol A monoacetate
MOL000829	NR1H3	target	Alisol A monoacetate
MOL000829	CRHR1	target	Alisol A monoacetate
MOL000829	MTNR1B	target	Alisol A monoacetate
MOL000829	CASR	target	Alisol A monoacetate
MOL000829	MTOR	target	Alisol A monoacetate
MOL000829	PGR	target	Alisol A monoacetate
MOL000829	PARP1	target	Alisol A monoacetate
MOL000829	MAPK14	target	Alisol A monoacetate
MOL000829	NAMPT	target	Alisol A monoacetate
MOL000829	ALOX5	target	Alisol A monoacetate
MOL000829	NOS2	target	Alisol A monoacetate
MOL000829	CDK2	target	Alisol A monoacetate
MOL000829	MAPK1	target	Alisol A monoacetate
MOL000829	ACACB	target	Alisol A monoacetate
MOL000829	PRKCB	target	Alisol A monoacetate
MOL000829	JAK3	target	Alisol A monoacetate
MOL000829	MAPK10	target	Alisol A monoacetate
MOL000829	PDE2A	target	Alisol A monoacetate
MOL000829	CDK1	target	Alisol A monoacetate
MOL000829	MDM2	target	Alisol A monoacetate
MOL000829	MAP3K14	target	Alisol A monoacetate
MOL000829	IGF1R	target	Alisol A monoacetate
MOL000829	F2	target	Alisol A monoacetate
MOL000829	CCND1	target	Alisol A monoacetate
MOL000829	F10	target	Alisol A monoacetate
MOL000829	LIMK1	target	Alisol A monoacetate
MOL000829	SMO	target	Alisol A monoacetate
MOL000829	MAPK8	target	Alisol A monoacetate
MOL000829	PER2	target	Alisol A monoacetate
MOL000829	FYN	target	Alisol A monoacetate
MOL000829	CSF1R	target	Alisol A monoacetate
MOL000829	YES1	target	Alisol A monoacetate
MOL000829	SRC	target	Alisol A monoacetate
MOL000829	GRIN2A	target	Alisol A monoacetate
MOL000829	GRIA2	target	Alisol A monoacetate
MOL000829	PIK3C3	target	Alisol A monoacetate
MOL000829	MAPKAPK2	target	Alisol A monoacetate
MOL000830	HSD11B1	target	Alisol B
MOL000830	HMGCR	target	Alisol B
MOL000830	CYP17A1	target	Alisol B
MOL000830	NR1H3	target	Alisol B
MOL000830	PTGS2	target	Alisol B
MOL000830	CCR1	target	Alisol B
MOL000830	CYP19A1	target	Alisol B
MOL000830	MDM2	target	Alisol B
MOL000830	PRKCA	target	Alisol B
MOL000830	NR1I2	target	Alisol B
MOL000830	AR	target	Alisol B
MOL000830	MTOR	target	Alisol B
MOL000830	PARP1	target	Alisol B
MOL000830	PER2	target	Alisol B
MOL000830	MAPK14	target	Alisol B
MOL000830	AVPR1A	target	Alisol B
MOL000830	EZH2	target	Alisol B
MOL000830	JAK3	target	Alisol B
MOL000830	CXCR3	target	Alisol B
MOL000830	CCND1	target	Alisol B
MOL000830	P2RX3	target	Alisol B
MOL000830	MAPK8	target	Alisol B
MOL000830	MAP3K14	target	Alisol B
MOL000830	IL6ST	target	Alisol B
MOL000830	NOS2	target	Alisol B
MOL000830	FYN	target	Alisol B
MOL000830	MTNR1B	target	Alisol B
MOL000830	EGFR	target	Alisol B
MOL000830	PDGFRA	target	Alisol B
MOL000830	ADORA2A	target	Alisol B
MOL000830	KDR	target	Alisol B
MOL000830	EPHB3	target	Alisol B
MOL000830	SYK	target	Alisol B
MOL000830	MAPK1	target	Alisol B
MOL000830	PDE2A	target	Alisol B
MOL000830	MAP3K11	target	Alisol B
MOL000830	CASR	target	Alisol B
MOL000830	INSR	target	Alisol B
MOL000830	ITK	target	Alisol B
MOL000830	TACR1	target	Alisol B
MOL000830	TGFBR2	target	Alisol B
MOL000830	TGFBR1	target	Alisol B
MOL000830	BRD4	target	Alisol B
MOL000830	BRD2	target	Alisol B
MOL000830	CSF1R	target	Alisol B
MOL000830	FLT1	target	Alisol B
MOL000830	PDGFRB	target	Alisol B
MOL000830	KIT	target	Alisol B
MOL000830	IGF1R	target	Alisol B
MOL000830	FLT3	target	Alisol B
MOL000830	RET	target	Alisol B
MOL000830	LCK	target	Alisol B
MOL000830	SRC	target	Alisol B
MOL000830	FGFR3	target	Alisol B
MOL000830	ZAP70	target	Alisol B
MOL000830	NTRK1	target	Alisol B
MOL000830	JAK2	target	Alisol B
MOL000832	CYP19A1	target	alisol,b,23-acetate
MOL000832	HSD17B3	target	alisol,b,23-acetate
MOL000832	VDR	target	alisol,b,23-acetate
MOL000832	HSD11B1	target	alisol,b,23-acetate
MOL000832	CCR1	target	alisol,b,23-acetate
MOL000832	NR1I2	target	alisol,b,23-acetate
MOL000832	HMGCR	target	alisol,b,23-acetate
MOL000832	MDM2	target	alisol,b,23-acetate
MOL000832	PRKCA	target	alisol,b,23-acetate
MOL000832	PARP1	target	alisol,b,23-acetate
MOL000832	MTOR	target	alisol,b,23-acetate
MOL000832	ALOX5	target	alisol,b,23-acetate
MOL000832	AVPR1A	target	alisol,b,23-acetate
MOL000832	TNF	target	alisol,b,23-acetate
MOL000832	TACR1	target	alisol,b,23-acetate
MOL000832	PRKCB	target	alisol,b,23-acetate
MOL000832	F2R	target	alisol,b,23-acetate
MOL000832	IL6ST	target	alisol,b,23-acetate
MOL000832	PRKCH	target	alisol,b,23-acetate
MOL000832	KDR	target	alisol,b,23-acetate
MOL000832	JAK3	target	alisol,b,23-acetate
MOL000832	GSK3B	target	alisol,b,23-acetate
MOL000832	PER2	target	alisol,b,23-acetate
MOL000832	CYP24A1	target	alisol,b,23-acetate
MOL000832	MAPK8	target	alisol,b,23-acetate
MOL000832	BACE1	target	alisol,b,23-acetate
MOL000832	CCND1	target	alisol,b,23-acetate
MOL000832	MAPK14	target	alisol,b,23-acetate
MOL000832	P2RX3	target	alisol,b,23-acetate
MOL000832	MAPK3	target	alisol,b,23-acetate
MOL000832	MAPK1	target	alisol,b,23-acetate
MOL000832	CDK1	target	alisol,b,23-acetate
MOL000832	LIMK1	target	alisol,b,23-acetate
MOL000832	ROCK2	target	alisol,b,23-acetate
MOL000832	CDK2	target	alisol,b,23-acetate
MOL000832	C5AR1	target	alisol,b,23-acetate
MOL000832	KCNA3	target	alisol,b,23-acetate
MOL000832	ACACB	target	alisol,b,23-acetate
MOL000832	DUT	target	alisol,b,23-acetate
MOL000832	IKBKB	target	alisol,b,23-acetate
MOL000832	CHUK	target	alisol,b,23-acetate
MOL000832	RAF1	target	alisol,b,23-acetate
MOL000832	MTNR1B	target	alisol,b,23-acetate
MOL000832	ADORA1	target	alisol,b,23-acetate
MOL000832	ADORA2A	target	alisol,b,23-acetate
MOL000832	MMP1	target	alisol,b,23-acetate
MOL000832	RASGRP3	target	alisol,b,23-acetate
MOL000832	BRAF	target	alisol,b,23-acetate
MOL000832	LRRK2	target	alisol,b,23-acetate
MOL000832	FYN	target	alisol,b,23-acetate
MOL000832	YES1	target	alisol,b,23-acetate
MOL000832	F10	target	alisol,b,23-acetate
MOL000832	SYK	target	alisol,b,23-acetate
MOL000832	SRC	target	alisol,b,23-acetate
MOL000832	MMP3	target	alisol,b,23-acetate
MOL000832	MMP9	target	alisol,b,23-acetate
MOL000832	PTGS1	target	alisol,b,23-acetate
MOL000835	HSP90AA1	target	alisol,b,123-acetate
MOL000835	VEGFA	target	EA-fructofuranoside
MOL000835	FGF1	target	EA-fructofuranoside
MOL000835	FGF2	target	EA-fructofuranoside
MOL000835	CDK1	target	EA-fructofuranoside
MOL000836	HSP90AA1	target	(2R,3S,4S,5R)-2-ethoxy-2,5-bis(hydroxymethyl)oxolane-3,4-diol
MOL000836	VEGFA	target	(2R,3S,4S,5R)-2-ethoxy-2,5-bis(hydroxymethyl)oxolane-3,4-diol
MOL000836	FGF1	target	(2R,3S,4S,5R)-2-ethoxy-2,5-bis(hydroxymethyl)oxolane-3,4-diol
MOL000836	FGF2	target	(2R,3S,4S,5R)-2-ethoxy-2,5-bis(hydroxymethyl)oxolane-3,4-diol
MOL000836	CDK1	target	(2R,3S,4S,5R)-2-ethoxy-2,5-bis(hydroxymethyl)oxolane-3,4-diol
MOL000837	AR	target	lismol
MOL000837	CYP17A1	target	lismol
MOL000837	CYP19A1	target	lismol
MOL000837	NR1H3	target	lismol
MOL000837	HMGCR	target	lismol
MOL000837	ESR1	target	lismol
MOL000837	ESR2	target	lismol
MOL000837	SHBG	target	lismol
MOL000837	RORC	target	lismol
MOL000837	SLC6A4	target	lismol
MOL000837	PPARD	target	lismol
MOL000837	SERPINA6	target	lismol
MOL000837	G6PD	target	lismol
MOL000837	IDO1	target	lismol
MOL000837	CHRM2	target	lismol
MOL000837	ACHE	target	lismol
MOL000837	CYP2C19	target	lismol
MOL000837	ABHD6	target	lismol
MOL000837	BCHE	target	lismol
MOL000837	PER2	target	lismol
MOL000837	HSD17B3	target	lismol
MOL000837	TOP1	target	lismol
MOL000839	BRD4	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	BRD2	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	AR	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	PTGS2	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	PTGS1	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	FAAH	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	MPO	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	PARP1	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	CYP19A1	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	NR3C1	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	PGR	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	LRRK2	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	JAK3	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	JAK1	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	JAK2	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	TYK2	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	MAPK14	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	CXCR2	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	CYP11B1	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	CYP11B2	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000839	LIPA	target	rel-(1R,3aS,4S,7S,8R,8aS)-7-isopropyl-1,4-dimethyldecahydro-4,7-epoxyazulene-1,8-diol
MOL000844	HSD11B1	target	Sulfoorientalol A
MOL000844	BACE1	target	Sulfoorientalol A
MOL000845	XIAP	target	Sulfoorientalol B
MOL000845	HSD11B1	target	Sulfoorientalol B
MOL000846	HSD11B1	target	Sulfoorientalol C
MOL000847	ERN1	target	Sulfoorientalol D
MOL000847	XIAP	target	Sulfoorientalol D
MOL000847	AKT1	target	Sulfoorientalol D
MOL000849	NOS2	target	16β-methoxyalisol B monoacetate
MOL000849	VAV1	target	16β-methoxyalisol B monoacetate
MOL000849	PRKCD	target	16β-methoxyalisol B monoacetate
MOL000849	PRKCA	target	16β-methoxyalisol B monoacetate
MOL000849	PRKCB	target	16β-methoxyalisol B monoacetate
MOL000849	F2RL1	target	16β-methoxyalisol B monoacetate
MOL000849	PRKCH	target	16β-methoxyalisol B monoacetate
MOL000849	PRKCQ	target	16β-methoxyalisol B monoacetate
MOL000849	HMGCR	target	16β-methoxyalisol B monoacetate
MOL000849	KCNA3	target	16β-methoxyalisol B monoacetate
MOL000849	PTGS2	target	16β-methoxyalisol B monoacetate
