#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	RXRA	9606.ENSP00000451828	9606.ENSP00000419692	0	0	0	0	0.082	0.077	0.900	0.322	0.934
AKT1	IKBKB	9606.ENSP00000451828	9606.ENSP00000430684	0	0	0	0.601	0	0.784	0.900	0.716	0.983
AKT1	HIF1A	9606.ENSP00000451828	9606.ENSP00000437955	0	0	0	0	0	0.261	0.900	0.887	0.990
AKT1	FKBP5	9606.ENSP00000451828	9606.ENSP00000444810	0	0	0	0	0.062	0.680	0	0.927	0.976
AKT1	MAP3K14	9606.ENSP00000451828	9606.ENSP00000482657	0	0	0	0.588	0.065	0.076	0.900	0.264	0.915
AKT1	NOS1	9606.ENSP00000451828	9606.ENSP00000477999	0	0	0	0	0.049	0.077	0.800	0.589	0.918
AKT1	VAV1	9606.ENSP00000451828	9606.ENSP00000472929	0	0	0	0	0	0.056	0	0.968	0.969
AKT2	LNPEP	9606.ENSP00000375892	9606.ENSP00000231368	0	0	0	0	0.064	0	0.900	0.302	0.928
AKT2	MDM2	9606.ENSP00000375892	9606.ENSP00000258149	0	0	0	0	0	0.056	0.900	0.508	0.949
AKT2	TP53	9606.ENSP00000375892	9606.ENSP00000269305	0	0	0	0	0	0.056	0.900	0.619	0.960
AKT2	INSR	9606.ENSP00000375892	9606.ENSP00000303830	0	0	0	0.560	0.052	0.150	0.900	0.656	0.937
AKT2	PRKDC	9606.ENSP00000375892	9606.ENSP00000313420	0	0	0	0	0.062	0.677	0	0.813	0.938
AKT2	GSK3B	9606.ENSP00000375892	9606.ENSP00000324806	0	0	0.201	0.580	0.071	0.703	0.900	0.623	0.979
AKT2	CASP9	9606.ENSP00000375892	9606.ENSP00000330237	0	0	0	0	0	0.063	0.900	0.425	0.941
AKT2	HSP90AA1	9606.ENSP00000375892	9606.ENSP00000335153	0	0	0	0	0.062	0.586	0.650	0.549	0.930
AKT2	CTNNB1	9606.ENSP00000375892	9606.ENSP00000344456	0	0	0	0	0.083	0.142	0.900	0.694	0.972
AKT2	PIK3CG	9606.ENSP00000375892	9606.ENSP00000352121	0	0	0	0	0.063	0.184	0.800	0.656	0.940
AKT2	MTOR	9606.ENSP00000375892	9606.ENSP00000354558	0	0	0	0	0.062	0.104	0.900	0.785	0.979
AKT2	CHUK	9606.ENSP00000375892	9606.ENSP00000359424	0	0	0	0.601	0	0.213	0.900	0.391	0.929
AKT2	JUN	9606.ENSP00000375892	9606.ENSP00000360266	0	0	0	0	0	0.057	0.800	0.532	0.904
AKT2	FOXO1	9606.ENSP00000375892	9606.ENSP00000368880	0	0	0	0	0.062	0.151	0.900	0.659	0.969
AKT2	PPP2CA	9606.ENSP00000375892	9606.ENSP00000418447	0	0	0	0	0.072	0.369	0.900	0.208	0.947
ALB	TTR	9606.ENSP00000295897	9606.ENSP00000237014	0	0	0	0	0.297	0.348	0	0.887	0.943
ALB	BCHE	9606.ENSP00000295897	9606.ENSP00000264381	0	0	0	0	0.108	0	0	0.919	0.925
ALB	ERBB2	9606.ENSP00000295897	9606.ENSP00000269571	0	0	0	0	0	0	0	0.923	0.923
ALB	DPP4	9606.ENSP00000295897	9606.ENSP00000353731	0	0	0	0	0.063	0	0	0.964	0.965
ALB	F2	9606.ENSP00000295897	9606.ENSP00000308541	0	0	0	0	0.624	0.073	0	0.908	0.965
ALB	GCG	9606.ENSP00000295897	9606.ENSP00000387662	0	0	0	0	0	0	0	0.988	0.988
ALB	SHBG	9606.ENSP00000295897	9606.ENSP00000369816	0	0	0	0	0.062	0	0	0.989	0.989
ALB	SERPINA6	9606.ENSP00000295897	9606.ENSP00000342850	0	0	0	0	0.379	0.151	0	0.988	0.993
ALDH2	COMT	9606.ENSP00000261733	9606.ENSP00000354511	0	0	0	0	0.062	0	0.900	0.451	0.944
ALDH2	AOC3	9606.ENSP00000261733	9606.ENSP00000312326	0	0	0	0	0.139	0.165	0.900	0.464	0.956
ALDH2	MAOA	9606.ENSP00000261733	9606.ENSP00000340684	0	0	0	0	0.064	0	0.900	0.623	0.961
ALK	PLCG1	9606.ENSP00000373700	9606.ENSP00000244007	0	0	0	0	0	0.872	0.800	0.263	0.979
ALK	JAK3	9606.ENSP00000373700	9606.ENSP00000391676	0	0	0	0.555	0.064	0.486	0.800	0.595	0.922
ALK	GRB2	9606.ENSP00000373700	9606.ENSP00000376345	0	0	0	0	0	0.840	0	0.894	0.982
ALOX15	CYP2C9	9606.ENSP00000458832	9606.ENSP00000260682	0	0	0	0	0	0	0.900	0.255	0.922
ALOX15	CYP3A4	9606.ENSP00000458832	9606.ENSP00000337915	0	0	0	0	0	0	0.900	0.131	0.909
ALOX15	CYP1A2	9606.ENSP00000458832	9606.ENSP00000342007	0	0	0	0	0	0	0.900	0.081	0.904
ALOX15	PTGS1	9606.ENSP00000458832	9606.ENSP00000354612	0	0	0	0	0.062	0	0.900	0.610	0.960
ALOX15	PTGS2	9606.ENSP00000458832	9606.ENSP00000356438	0	0	0	0	0.062	0	0.900	0.622	0.961
ALOX15	CYP2C19	9606.ENSP00000458832	9606.ENSP00000360372	0	0	0	0	0	0	0.900	0.208	0.917
ALOX15	ALOX5	9606.ENSP00000458832	9606.ENSP00000363512	0	0	0.298	0.905	0.062	0	0.900	0.905	0.912
ALOX15	HSPA8	9606.ENSP00000458832	9606.ENSP00000432083	0	0	0	0	0	0	0.900	0.068	0.902
ALOX5	CYP2C9	9606.ENSP00000363512	9606.ENSP00000260682	0	0	0	0	0	0	0.900	0.335	0.930
ALOX5	PTGS1	9606.ENSP00000363512	9606.ENSP00000354612	0	0	0	0	0.096	0	0.900	0.728	0.973
ALOX5	MAPKAPK2	9606.ENSP00000363512	9606.ENSP00000356070	0	0	0	0	0.062	0.679	0.900	0.183	0.972
ALOX5	PTGS2	9606.ENSP00000363512	9606.ENSP00000356438	0	0	0	0	0.081	0	0.900	0.828	0.982
ALOX5	CYP2C19	9606.ENSP00000363512	9606.ENSP00000360372	0	0	0	0	0	0	0.900	0.248	0.921
ALOX5	ALOX5AP	9606.ENSP00000363512	9606.ENSP00000479870	0	0	0	0	0.320	0.754	0.600	0.982	0.998
AMPD2	ATIC	9606.ENSP00000256578	9606.ENSP00000236959	0	0	0	0	0.063	0.056	0.900	0.192	0.918
AMPD2	DCK	9606.ENSP00000256578	9606.ENSP00000286648	0	0	0	0	0	0	0.900	0.160	0.912
AOC3	COMT	9606.ENSP00000312326	9606.ENSP00000354511	0	0	0	0	0	0	0.900	0.089	0.905
AOC3	MAOA	9606.ENSP00000312326	9606.ENSP00000340684	0	0	0	0	0.082	0	0.800	0.557	0.911
APEX1	EPAS1	9606.ENSP00000216714	9606.ENSP00000263734	0	0	0	0	0	0	0.900	0.054	0.901
APEX1	HDAC1	9606.ENSP00000216714	9606.ENSP00000362649	0	0	0	0	0.184	0.345	0	0.856	0.917
APEX1	PARP1	9606.ENSP00000216714	9606.ENSP00000355759	0	0	0	0	0.132	0.105	0.650	0.774	0.930
APEX1	HIF1A	9606.ENSP00000216714	9606.ENSP00000437955	0	0	0	0	0	0.270	0	0.960	0.969
APEX1	EP300	9606.ENSP00000216714	9606.ENSP00000263253	0	0	0	0	0.068	0.807	0	0.862	0.973
APEX1	TP53	9606.ENSP00000216714	9606.ENSP00000269305	0	0	0	0	0.085	0.487	0	0.972	0.985
APEX1	FEN1	9606.ENSP00000216714	9606.ENSP00000305480	0	0	0	0	0.302	0.288	0.800	0.928	0.992
APEX1	POLB	9606.ENSP00000216714	9606.ENSP00000265421	0	0	0	0	0.062	0.486	0.800	0.970	0.996
AR	HDAC7	9606.ENSP00000363822	9606.ENSP00000080059	0	0	0	0	0	0.298	0.900	0.360	0.951
AR	SIRT1	9606.ENSP00000363822	9606.ENSP00000212015	0	0	0	0	0	0.298	0.900	0.708	0.977
AR	CCND1	9606.ENSP00000363822	9606.ENSP00000227507	0	0	0	0	0.061	0.839	0.900	0.921	0.998
AR	MAPK14	9606.ENSP00000363822	9606.ENSP00000229795	0	0	0	0	0	0.104	0.900	0.289	0.930
AR	NR3C1	9606.ENSP00000363822	9606.ENSP00000231509	0	0	0	0.816	0	0.213	0.900	0.834	0.930
AR	MDM2	9606.ENSP00000363822	9606.ENSP00000258149	0	0	0	0	0	0.898	0	0.988	0.998
AR	CREBBP	9606.ENSP00000363822	9606.ENSP00000262367	0	0	0	0	0	0.788	0.900	0.636	0.991
AR	EP300	9606.ENSP00000363822	9606.ENSP00000263253	0	0	0	0	0	0.881	0.900	0.793	0.997
AR	BRD4	9606.ENSP00000363822	9606.ENSP00000263377	0	0	0	0	0	0.644	0	0.984	0.994
AR	STAT3	9606.ENSP00000363822	9606.ENSP00000264657	0	0	0	0	0	0.680	0	0.986	0.995
AR	CDK6	9606.ENSP00000363822	9606.ENSP00000265734	0	0	0	0	0	0.606	0.900	0.425	0.975
AR	EGFR	9606.ENSP00000363822	9606.ENSP00000275493	0	0	0	0	0.063	0.698	0	0.966	0.989
AR	PRKACA	9606.ENSP00000363822	9606.ENSP00000309591	0	0	0	0	0	0	0.900	0.094	0.905
AR	EZH2	9606.ENSP00000363822	9606.ENSP00000320147	0	0	0	0	0	0.692	0	0.988	0.996
AR	GSK3B	9606.ENSP00000363822	9606.ENSP00000324806	0	0	0	0	0	0.482	0.900	0.405	0.966
AR	HSP90AA1	9606.ENSP00000363822	9606.ENSP00000335153	0	0	0	0	0	0.884	0.900	0.989	0.999
AR	CTNNB1	9606.ENSP00000363822	9606.ENSP00000344456	0	0	0	0	0	0.898	0.900	0.989	0.999
AR	CASP8	9606.ENSP00000363822	9606.ENSP00000351273	0	0	0	0	0	0.345	0.900	0.614	0.972
AR	JUN	9606.ENSP00000363822	9606.ENSP00000360266	0	0	0	0	0	0.499	0	0.928	0.962
AR	HSP90AB1	9606.ENSP00000363822	9606.ENSP00000360609	0	0	0	0	0	0.285	0.800	0.672	0.949
AR	CCND3	9606.ENSP00000363822	9606.ENSP00000362082	0	0	0	0	0	0.056	0.900	0.295	0.927
AR	HDAC1	9606.ENSP00000363822	9606.ENSP00000362649	0	0	0	0	0	0.762	0	0.833	0.958
AR	SRC	9606.ENSP00000363822	9606.ENSP00000362680	0	0	0	0	0	0.839	0.900	0.989	0.999
AR	HSPA1A	9606.ENSP00000363822	9606.ENSP00000364802	0	0	0	0	0	0.498	0.650	0.532	0.910
AR	SHBG	9606.ENSP00000363822	9606.ENSP00000369816	0	0	0	0	0	0	0	0.922	0.922
AR	MAPK8	9606.ENSP00000363822	9606.ENSP00000378974	0	0	0	0	0	0	0.900	0.285	0.925
AR	FKBP5	9606.ENSP00000363822	9606.ENSP00000444810	0	0	0	0	0	0.759	0.650	0.710	0.973
AR	FOXO1	9606.ENSP00000363822	9606.ENSP00000368880	0	0	0	0	0	0.497	0	0.965	0.981
