ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002832	negative regulation of response to biotic stimulus	13/153	116/18903	1.0271480160766e-11	1.20127406070673e-09	9.77721344626295e-10	ISG15/OAS1/OAS3/USP18/DHX58/PARP14/IFI16/SERPING1/CEACAM1/LGALS9/STAT2/TRAFD1/TRIM21	13
BP	GO:0032481	positive regulation of type I interferon production	10/153	63/18903	7.94041296125211e-11	8.86438828765235e-09	7.2147579968506e-09	ISG15/OAS1/OAS2/OAS3/IFIH1/DHX58/STAT1/IRF7/TLR2/MYD88	10
BP	GO:0002683	negative regulation of immune system process	21/153	449/18903	9.55117068653306e-11	1.01989892200544e-08	8.30099456921112e-09	ISG15/OAS1/OAS3/USP18/GBP1/DHX58/CCL2/PARP14/IFI16/SERPING1/CEACAM1/LGALS9/BST2/STAT2/NOD2/MAFB/TRAFD1/TNFAIP6/TRIM21/BLK/HLA-DOB	21
BP	GO:0035456	response to interferon-beta	8/153	32/18903	1.36695408441531e-10	1.39884967971833e-08	1.13852886241433e-08	IFITM3/OAS1/XAF1/PLSCR1/IFI16/IFITM1/STAT1/BST2	8
BP	GO:0001819	positive regulation of cytokine production	21/153	486/18903	4.06356544882726e-10	3.9920466969279e-08	3.24914138413599e-08	RSAD2/ISG15/OAS1/EIF2AK2/OAS2/OAS3/IFIH1/DHX58/IFI16/STAT1/GBP5/IRF7/FFAR2/LGALS9/NOD2/TLR2/C3AR1/JAK2/MYD88/CYBB/CD6	21
BP	GO:0050777	negative regulation of immune response	14/153	190/18903	4.69392753065736e-10	4.43395615972865e-08	3.60881310960256e-08	ISG15/OAS1/OAS3/USP18/DHX58/PARP14/IFI16/SERPING1/CEACAM1/LGALS9/STAT2/NOD2/TRAFD1/TRIM21	14
BP	GO:0032728	positive regulation of interferon-beta production	8/153	39/18903	7.62193549229887e-10	6.93313835892075e-08	5.64290662763179e-08	ISG15/OAS1/OAS2/OAS3/IFIH1/DHX58/IRF7/TLR2	8
BP	GO:0032479	regulation of type I interferon production	11/153	105/18903	8.81930761210409e-10	7.4690412052854e-08	6.07907991121077e-08	ISG15/OAS1/OAS2/OAS3/IFIH1/DHX58/STAT1/IRF7/TLR2/MYD88/TRIM21	11
BP	GO:0032606	type I interferon production	11/153	105/18903	8.81930761210409e-10	7.4690412052854e-08	6.07907991121077e-08	ISG15/OAS1/OAS2/OAS3/IFIH1/DHX58/STAT1/IRF7/TLR2/MYD88/TRIM21	11
BP	GO:0032103	positive regulation of response to external stimulus	20/153	464/18903	1.14824547322879e-09	9.25069059390041e-08	7.52917085454178e-08	OASL/DDX60/FCGR1A/CXCL10/PARP9/PLSCR1/ZBP1/IFI35/DHX58/CCR1/IFI16/GBP5/IRF7/FFAR2/LGALS9/NOD2/TLR2/C3AR1/JAK2/SH2D1B	20
BP	GO:0060338	regulation of type I interferon-mediated signaling pathway	8/153	41/18903	1.16763602773173e-09	9.25069059390041e-08	7.52917085454178e-08	ISG15/OAS1/OAS3/USP18/ZBP1/IRF7/STAT2/CDC37	8
BP	GO:0060759	regulation of response to cytokine stimulus	13/153	179/18903	2.40348063963992e-09	1.84467139092364e-07	1.50138478114349e-07	ISG15/OAS1/OAS3/USP18/IFIH1/PARP9/ZBP1/PARP14/IRF7/IL1RN/STAT2/TLR2/CDC37	13
BP	GO:0098586	cellular response to virus	11/153	116/18903	2.57879253488826e-09	1.91924680778351e-07	1.56208198524811e-07	OASL/DDX60/OAS1/IFI6/OAS3/IFIH1/CXCL10/DHX58/IRF7/LGALS9/JAK2	11
BP	GO:0071346	cellular response to interferon-gamma	11/153	118/18903	3.09592850483516e-09	2.23635306113975e-07	1.82017592281175e-07	GBP1/PARP9/CCL2/CCL8/PARP14/STAT1/GBP5/LGALS9/TLR2/JAK2/CDC37	11
BP	GO:0002221	pattern recognition receptor signaling pathway	13/153	187/18903	4.09392534982744e-09	2.87276590262177e-07	2.3381546584428e-07	RSAD2/OASL/DDX60/OAS1/OAS3/IFIH1/IFI35/DHX58/IRF7/FFAR2/NOD2/TLR2/MYD88	13
BP	GO:0051770	positive regulation of nitric-oxide synthase biosynthetic process	6/153	18/18903	4.36551733432249e-09	2.89922300809908e-07	2.35968819320253e-07	CCL2/STAT1/NOD2/TLR2/JAK2/FCER2	6
BP	GO:0002833	positive regulation of response to biotic stimulus	13/153	188/18903	4.36772195845545e-09	2.89922300809908e-07	2.35968819320253e-07	OASL/DDX60/PARP9/PLSCR1/ZBP1/IFI35/DHX58/IFI16/GBP5/IRF7/FFAR2/NOD2/SH2D1B	13
BP	GO:0031348	negative regulation of defense response	15/153	272/18903	6.01219891820277e-09	3.88577909029106e-07	3.16264979104351e-07	ISG15/OAS1/OAS3/USP18/DHX58/PARP14/IFI16/SERPING1/CEACAM1/LGALS9/STAT2/NOD2/TRAFD1/TNFAIP6/TRIM21	15
BP	GO:0032760	positive regulation of tumor necrosis factor production	10/153	105/18903	1.34147509650338e-08	8.44785342823666e-07	6.87573875373796e-07	OAS1/OAS2/OAS3/IFIH1/LGALS9/NOD2/TLR2/JAK2/MYD88/CYBB	10
BP	GO:0039530	MDA-5 signaling pathway	5/153	11/18903	1.4452800806383e-08	8.87401969511917e-07	7.22259703455824e-07	DDX60/OAS3/IFIH1/DHX58/IRF7	5
BP	GO:0051767	nitric-oxide synthase biosynthetic process	6/153	22/18903	1.70833005674477e-08	9.98966337944087e-07	8.1306235031537e-07	CCL2/STAT1/NOD2/TLR2/JAK2/FCER2	6
BP	GO:0051769	regulation of nitric-oxide synthase biosynthetic process	6/153	22/18903	1.70833005674477e-08	9.98966337944087e-07	8.1306235031537e-07	CCL2/STAT1/NOD2/TLR2/JAK2/FCER2	6
BP	GO:0032608	interferon-beta production	8/153	57/18903	1.81017063954561e-08	1.01040433880092e-06	8.22371780980173e-07	ISG15/OAS1/OAS2/OAS3/IFIH1/DHX58/IRF7/TLR2	8
BP	GO:0032648	regulation of interferon-beta production	8/153	57/18903	1.81017063954561e-08	1.01040433880092e-06	8.22371780980173e-07	ISG15/OAS1/OAS2/OAS3/IFIH1/DHX58/IRF7/TLR2	8
BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	10/153	109/18903	1.92858274217561e-08	1.05257760328518e-06	8.56696754945377e-07	OAS1/OAS2/OAS3/IFIH1/LGALS9/NOD2/TLR2/JAK2/MYD88/CYBB	10
BP	GO:0032722	positive regulation of chemokine production	8/153	70/18903	9.46310600503983e-08	5.05247572790822e-06	4.112228444753e-06	OAS1/EIF2AK2/OAS3/FFAR2/LGALS9/NOD2/TLR2/MYD88	8
BP	GO:0001959	regulation of cytokine-mediated signaling pathway	11/153	167/18903	1.16275633845737e-07	6.07602035585386e-06	4.94529515505163e-06	ISG15/OAS1/OAS3/USP18/PARP9/ZBP1/PARP14/IRF7/IL1RN/STAT2/CDC37	11
BP	GO:0044403	biological process involved in symbiotic interaction	14/153	307/18903	2.0889899331436e-07	1.06886651579181e-05	8.69954360315723e-06	IFI27/IFIT1/IFITM3/LY6E/PLSCR1/TRIM22/SIGLEC1/CCL8/IFITM1/CHMP5/LGALS9/JAK2/MYD88/TRIM21	14
BP	GO:0002443	leukocyte mediated immunity	17/153	463/18903	2.21930845740514e-07	1.11237174926266e-05	9.05363428702976e-06	RSAD2/FCGR1A/SERPING1/CEACAM1/IRF7/LGALS9/BST2/NOD2/MYD88/SH2D1B/PTGDS/BLK/HLA-DOB/FCER2/HLA-DQB1/KLRB1/CD19	17
BP	GO:0039528	cytoplasmic pattern recognition receptor signaling pathway in response to virus	6/153	34/18903	2.84220333581971e-07	1.39609027855464e-05	1.13628297573087e-05	OASL/DDX60/OAS3/IFIH1/DHX58/IRF7	6
BP	GO:0045089	positive regulation of innate immune response	10/153	145/18903	2.90930517091842e-07	1.40103009799522e-05	1.14030351281199e-05	PARP9/PLSCR1/ZBP1/IFI35/IFI16/GBP5/IRF7/FFAR2/NOD2/SH2D1B	10
BP	GO:0060339	negative regulation of type I interferon-mediated signaling pathway	5/153	20/18903	4.57296874742947e-07	2.15580842638551e-05	1.75462035046549e-05	ISG15/OAS1/OAS3/USP18/STAT2	5
BP	GO:0002697	regulation of immune effector process	15/153	379/18903	4.65219245107623e-07	2.15580842638551e-05	1.75462035046549e-05	RSAD2/DDX60/FCGR1A/DHX58/SERPING1/CEACAM1/FFAR2/LGALS9/BST2/NOD2/MYD88/SH2D1B/BLK/FCER2/KLRB1	15
BP	GO:0032102	negative regulation of response to external stimulus	16/153	436/18903	5.18967060475095e-07	2.36033907504969e-05	1.921088592285e-05	ISG15/OAS1/OAS3/USP18/DHX58/CCL2/PARP14/IFI16/SERPING1/CEACAM1/LGALS9/STAT2/NOD2/TRAFD1/TNFAIP6/TRIM21	16
BP	GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	7/153	60/18903	5.34652786186416e-07	2.38746771431607e-05	1.94316869084785e-05	OASL/DDX60/OAS3/IFIH1/DHX58/IRF7/NOD2	7
BP	GO:0002253	activation of immune response	15/153	397/18903	8.34513620446262e-07	3.65993830681432e-05	2.97883715268318e-05	GBP1/PLSCR1/ZBP1/IFI16/SERPING1/CEACAM1/FFAR2/CD38/NOD2/C3AR1/CD79A/BLK/HLA-DQB1/CD79B/CD19	15
BP	GO:0032642	regulation of chemokine production	8/153	98/18903	1.30314668245271e-06	5.61496184579625e-05	4.57003795009733e-05	OAS1/EIF2AK2/OAS3/FFAR2/LGALS9/NOD2/TLR2/MYD88	8
BP	GO:0031349	positive regulation of defense response	13/153	307/18903	1.32973732553123e-06	5.63074977845636e-05	4.58288780614119e-05	FCGR1A/PARP9/PLSCR1/ZBP1/IFI35/IFI16/GBP5/IRF7/FFAR2/NOD2/TLR2/JAK2/SH2D1B	13
BP	GO:0032602	chemokine production	8/153	99/18903	1.40807618849249e-06	5.86141545582636e-05	4.77062744326001e-05	OAS1/EIF2AK2/OAS3/FFAR2/LGALS9/NOD2/TLR2/MYD88	8
BP	GO:0062208	positive regulation of pattern recognition receptor signaling pathway	6/153	45/18903	1.59956073601902e-06	6.54753527943786e-05	5.3290628731581e-05	RSAD2/OASL/DDX60/IFI35/DHX58/TLR2	6
BP	GO:0002449	lymphocyte mediated immunity	14/153	367/18903	1.76430592882506e-06	7.10350059212186e-05	5.78156507133525e-05	RSAD2/FCGR1A/SERPING1/CEACAM1/IRF7/LGALS9/NOD2/MYD88/SH2D1B/HLA-DOB/FCER2/HLA-DQB1/KLRB1/CD19	14
BP	GO:0046596	regulation of viral entry into host cell	6/153	46/18903	1.82727625486244e-06	7.23837174506801e-05	5.89133719521865e-05	IFITM3/LY6E/TRIM22/IFITM1/LGALS9/TRIM21	6
BP	GO:0060333	interferon-gamma-mediated signaling pathway	5/153	26/18903	1.86564951873509e-06	7.2730717746244e-05	5.91957967598652e-05	PARP9/PARP14/STAT1/JAK2/CDC37	5
BP	GO:0140289	protein mono-ADP-ribosylation	4/153	12/18903	1.94203711577646e-06	7.45256743179217e-05	6.06567184680839e-05	PARP9/PARP12/PARP14/PARP10	4
BP	GO:0062207	regulation of pattern recognition receptor signaling pathway	8/153	107/18903	2.53856576863707e-06	9.45137409217014e-05	7.69250788660685e-05	RSAD2/OASL/DDX60/IFI35/DHX58/IRF7/NOD2/TLR2	8
BP	GO:0032640	tumor necrosis factor production	10/153	184/18903	2.57834716683794e-06	9.45137409217014e-05	7.69250788660685e-05	OAS1/OAS2/OAS3/IFIH1/LGALS9/NOD2/TLR2/JAK2/MYD88/CYBB	10
BP	GO:0032680	regulation of tumor necrosis factor production	10/153	184/18903	2.57834716683794e-06	9.45137409217014e-05	7.69250788660685e-05	OAS1/OAS2/OAS3/IFIH1/LGALS9/NOD2/TLR2/JAK2/MYD88/CYBB	10
BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	10/153	189/18903	3.27897620724028e-06	0.000115045222356888	9.36357265796886e-05	IFIT5/TRIM22/TNFSF10/LGALS9/CLEC4D/BST2/NOD2/MYD88/TRIM21/CXXC5	10
BP	GO:0071706	tumor necrosis factor superfamily cytokine production	10/153	189/18903	3.27897620724028e-06	0.000115045222356888	9.36357265796886e-05	OAS1/OAS2/OAS3/IFIH1/LGALS9/NOD2/TLR2/JAK2/MYD88/CYBB	10
BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	10/153	189/18903	3.27897620724028e-06	0.000115045222356888	9.36357265796886e-05	OAS1/OAS2/OAS3/IFIH1/LGALS9/NOD2/TLR2/JAK2/MYD88/CYBB	10
BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	12/153	288/18903	4.07009895238226e-06	0.000140791028550012	0.000114590332254617	IFIT5/TRIM22/TNFSF10/STAT1/LGALS9/CLEC4D/BST2/NOD2/TLR2/MYD88/TRIM21/CXXC5	12
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	13/153	341/18903	4.22520833817459e-06	0.000143810165972309	0.000117047619227419	FCGR1A/GBP1/PLSCR1/CEACAM1/FFAR2/CD38/CLEC4D/C3AR1/CD79A/BLK/HLA-DQB1/CD79B/CD19	13
BP	GO:0052372	modulation by symbiont of entry into host	6/153	53/18903	4.27448783223883e-06	0.000143810165972309	0.000117047619227419	IFITM3/LY6E/TRIM22/IFITM1/LGALS9/TRIM21	6
BP	GO:0071639	positive regulation of monocyte chemotactic protein-1 production	4/153	15/18903	5.25482096016068e-06	0.00017440324700209	0.000141947439592392	OAS1/OAS3/LGALS9/NOD2	4
BP	GO:0051701	biological process involved in interaction with host	10/153	203/18903	6.18863347671298e-06	0.000202657117584095	0.000164943368031971	IFIT1/IFITM3/LY6E/PLSCR1/TRIM22/SIGLEC1/IFITM1/CHMP5/LGALS9/TRIM21	10
BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	11/153	255/18903	7.49458730204778e-06	0.000242193505445123	0.000197122178484608	IFIT5/TRIM22/TNFSF10/STAT1/LGALS9/CLEC4D/BST2/NOD2/MYD88/TRIM21/CXXC5	11
BP	GO:0001960	negative regulation of cytokine-mediated signaling pathway	7/153	89/18903	7.84208047714216e-06	0.000250131813660534	0.000203583196528954	ISG15/OAS1/OAS3/USP18/PARP14/IL1RN/STAT2	7
BP	GO:0043903	regulation of biological process involved in symbiotic interaction	6/153	59/18903	8.06082338660912e-06	0.000253812592788615	0.000206578996102169	IFITM3/LY6E/TRIM22/IFITM1/LGALS9/TRIM21	6
BP	GO:0002699	positive regulation of immune effector process	11/153	261/18903	9.33425514451811e-06	0.000290188995378943	0.000236185883003863	RSAD2/DDX60/FCGR1A/DHX58/FFAR2/LGALS9/NOD2/MYD88/SH2D1B/BLK/FCER2	11
BP	GO:0060761	negative regulation of response to cytokine stimulus	7/153	94/18903	1.12634932312047e-05	0.000345789242197983	0.000281439126921811	ISG15/OAS1/OAS3/USP18/PARP14/IL1RN/STAT2	7
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	13/153	375/18903	1.17341115474608e-05	0.000354510519882617	0.000288537406676277	RSAD2/FCGR1A/TNFSF13B/SERPING1/CEACAM1/IRF7/NOD2/JAK2/MYD88/HLA-DOB/FCER2/HLA-DQB1/CD19	13
BP	GO:0032731	positive regulation of interleukin-1 beta production	6/153	63/18903	1.18362632859832e-05	0.000354510519882617	0.000288537406676277	IFI16/GBP5/LGALS9/NOD2/JAK2/MYD88	6
BP	GO:0071222	cellular response to lipopolysaccharide	10/153	222/18903	1.35480120808182e-05	0.000400890574343246	0.000326286302364917	CMPK2/CXCL10/CCL2/CHMP5/ABCA1/NOD2/TLR2/JAK2/MYD88/CD6	10
BP	GO:0060760	positive regulation of response to cytokine stimulus	6/153	65/18903	1.41987592023517e-05	0.000415144673821142	0.000337887765980777	IFIH1/PARP9/ZBP1/PARP14/IRF7/TLR2	6
BP	GO:0044000	movement in host	9/153	183/18903	1.84814299508436e-05	0.000534004611285551	0.000434628303116433	IFITM3/LY6E/PLSCR1/TRIM22/SIGLEC1/IFITM1/CHMP5/LGALS9/TRIM21	9
BP	GO:0070555	response to interleukin-1	8/153	141/18903	1.95575974808043e-05	0.000558528597823899	0.000454588465312697	GBP1/ZBP1/CCL2/CCL8/IL1RN/LGALS9/CD38/MYD88	8
BP	GO:0032496	response to lipopolysaccharide	12/153	339/18903	2.09645750599275e-05	0.000591827544220483	0.000481690599380549	CMPK2/CXCL10/CCL2/MPO/CHMP5/ABCA1/LGALS9/NOD2/TLR2/JAK2/MYD88/CD6	12
BP	GO:0071219	cellular response to molecule of bacterial origin	10/153	234/18903	2.13451822910228e-05	0.000595724633031272	0.000484862454194405	CMPK2/CXCL10/CCL2/CHMP5/ABCA1/NOD2/TLR2/JAK2/MYD88/CD6	10
BP	GO:0071605	monocyte chemotactic protein-1 production	4/153	21/18903	2.2184623665941e-05	0.000605393730261679	0.000492732167738269	OAS1/OAS3/LGALS9/NOD2	4
BP	GO:0071637	regulation of monocyte chemotactic protein-1 production	4/153	21/18903	2.2184623665941e-05	0.000605393730261679	0.000492732167738269	OAS1/OAS3/LGALS9/NOD2	4
BP	GO:0002274	myeloid leukocyte activation	10/153	237/18903	2.38095345453652e-05	0.000642595789488098	0.000523011059591076	PLSCR1/IFI35/BATF2/LGALS9/CLEC4D/TLR2/JAK2/MYD88/PTGDS/BLK	10
BP	GO:0030595	leukocyte chemotaxis	10/153	240/18903	2.65142415435271e-05	0.000703988192141754	0.00057297856029367	CXCL10/CCR1/CCL2/CCL8/FFAR2/LGALS9/NOD2/C3AR1/TNFAIP6/CXCR5	10
BP	GO:0032069	regulation of nuclease activity	4/153	22/18903	2.69441734777381e-05	0.000703988192141754	0.00057297856029367	OASL/OAS1/OAS2/OAS3	4
BP	GO:0140374	antiviral innate immune response	4/153	22/18903	2.69441734777381e-05	0.000703988192141754	0.00057297856029367	IFIT1/MX1/OAS1/CXCL10	4
BP	GO:0002703	regulation of leukocyte mediated immunity	10/153	241/18903	2.7472481544973e-05	0.000710235943941618	0.000578063628298103	RSAD2/FCGR1A/CEACAM1/LGALS9/BST2/NOD2/SH2D1B/BLK/FCER2/KLRB1	10
BP	GO:0032732	positive regulation of interleukin-1 production	6/153	74/18903	2.99952636658876e-05	0.000759467706839381	0.00061813353989713	IFI16/GBP5/LGALS9/NOD2/JAK2/MYD88	6
BP	GO:0050688	regulation of defense response to virus	6/153	74/18903	2.99952636658876e-05	0.000759467706839381	0.00061813353989713	HERC5/IFIT1/PARP9/DHX58/STAT1/DTX3L	6
BP	GO:0046718	viral entry into host cell	8/153	151/18903	3.2044794259405e-05	0.000803081782664272	0.000653631195473793	IFITM3/LY6E/PLSCR1/TRIM22/SIGLEC1/IFITM1/LGALS9/TRIM21	8
BP	GO:0002237	response to molecule of bacterial origin	12/153	360/18903	3.77326939790104e-05	0.000936075721337875	0.000761875447805856	CMPK2/CXCL10/CCL2/MPO/CHMP5/ABCA1/LGALS9/NOD2/TLR2/JAK2/MYD88/CD6	12
BP	GO:0044409	entry into host	8/153	158/18903	4.4281380490955e-05	0.00108755070485786	0.000885161490024459	IFITM3/LY6E/PLSCR1/TRIM22/SIGLEC1/IFITM1/LGALS9/TRIM21	8
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	11/153	312/18903	4.84473334918729e-05	0.00116653579466706	0.000949447743045063	GBP1/PLSCR1/CEACAM1/FFAR2/CD38/C3AR1/CD79A/BLK/HLA-DQB1/CD79B/CD19	11
BP	GO:0002757	immune response-activating signal transduction	11/153	312/18903	4.84473334918729e-05	0.00116653579466706	0.000949447743045063	GBP1/PLSCR1/CEACAM1/FFAR2/CD38/C3AR1/CD79A/BLK/HLA-DQB1/CD79B/CD19	11
BP	GO:1903901	negative regulation of viral life cycle	4/153	26/18903	5.36968129809414e-05	0.00127348297360776	0.0010364924425172	IFITM3/LY6E/IFITM1/BST2	4
